,Saguaro ID,2013 Measurement,2015 Measurement,2020 Measurement,2013 - 2015 Avg. Growth Rate,2015 - 2020 Avg. Growth Rate
855,2013-0012-01-8,12.9,13.85,15.2,0.475,0.675
856,2013-0012-01-9,9.6,10.45,11.7,0.425,0.625
857,2013-0013-01-1,2.5,2.9,4.0,0.2,0.55
858,2013-0013-01-10,0.6,0.79,1.3,0.095,0.255
859,2013-0013-01-11,1.3,1.75,2.7,0.225,0.475
860,2013-0013-01-12,1.5,2.0,3.5,0.25,0.75
861,2013-0013-01-13,1.0,1.46,1.8,0.23,0.17
862,2013-0013-01-14,1.2,1.54,2.2,0.17,0.33
863,2013-0013-01-15,1.46,2.88,2.88,0.71,0.0
864,2013-0013-01-16,1.92,2.29,2.67,0.185,0.19
865,2013-0013-01-2,2.0,2.23,2.75,0.115,0.26
866,2013-0013-01-3,1.7,2.15,3.04,0.225,0.445
867,2013-0013-01-4,2.0,2.35,3.6,0.175,0.625
869,2013-0013-01-6,4.5,5.12,6.8,0.31,0.84
870,2013-0013-01-7,3.8,4.25,4.75,0.225,0.25
871,2013-0013-01-8,1.5,1.58,2.4,0.04,0.41
872,2013-0013-01-9,2.1,2.38,3.6,0.14,0.61
873,2013-0063-01-1,1.02,1.65,3.17,0.315,0.76
874,2013-0063-01-10,7.4,7.7,9.1,0.15,0.7
875,2013-0063-01-11,8.7,9.0,12.4,0.15,1.7
876,2013-0063-01-12,1.42,1.5,2.3,0.04,0.4
877,2013-0063-01-13,2.0,2.21,3.0,0.105,0.395
878,2013-0063-01-14,1.79,2.21,4.0,0.21,0.895
879,2013-0063-01-15,1.0,1.29,2.6,0.145,0.655
880,2013-0063-01-16,0.8,0.92,1.7,0.06,0.39
881,2013-0063-01-17,2.75,3.08,4.8,0.165,0.86
883,2013-0063-01-19,3.33,3.67,4.8,0.17,0.565
884,2013-0063-01-2,1.08,1.62,3.7,0.27,1.04
885,2013-0063-01-20,0.58,0.81,1.8,0.115,0.495
886,2013-0063-01-21,0.92,1.08,1.8,0.08,0.36
887,2013-0063-01-22,0.75,0.8,1.1,0.025,0.15
888,2013-0063-01-23,0.58,0.75,1.4,0.085,0.325
889,2013-0063-01-24,0.75,1.0,2.1,0.125,0.55
890,2013-0063-01-25,2.5,2.9,4.7,0.2,0.9
891,2013-0063-01-26,0.83,1.0,1.8,0.085,0.4
892,2013-0063-01-27,0.67,0.81,2.0,0.07,0.595
893,2013-0063-01-28,1.67,1.85,3.3,0.09,0.725
894,2013-0063-01-29,2.75,3.31,5.2,0.28,0.945
895,2013-0063-01-3,11.2,11.9,13.6,0.35,0.85
896,2013-0063-01-30,0.78,1.12,2.08,0.17,0.48
897,2013-0063-01-31,2.85,3.04,3.9,0.095,0.43
898,2013-0063-01-32,0.5,0.69,1.75,0.095,0.53
899,2013-0063-01-33,0.71,0.94,1.8,0.115,0.43
900,2013-0063-01-34,2.72,3.46,5.25,0.37,0.895
901,2013-0063-01-35,2.0,2.29,2.7,0.145,0.205
902,2013-0063-01-36,1.96,1.96,3.2,0.0,0.62
903,2013-0063-01-37,0.62,0.88,1.6,0.13,0.36
905,2013-0063-01-39,0.67,1.0,2.2,0.165,0.6
906,2013-0063-01-40,0.46,0.75,1.7,0.145,0.475
907,2013-0063-01-41,0.3,0.5,1.0,0.1,0.25
908,2013-0063-01-42,0.32,0.48,1.0,0.08,0.26
909,2013-0063-01-43,0.79,0.96,1.7,0.085,0.37
910,2013-0063-01-5,0.87,1.23,2.08,0.18,0.425
911,2013-0063-01-6,1.33,1.48,2.4,0.075,0.46
912,2013-0063-01-7,1.0,1.0,1.1,0.0,0.05
913,2013-0063-01-8,1.33,1.38,2.1,0.025,0.36
914,2013-0063-01-9,2.17,2.5,4.1,0.165,0.8
915,2013-0064-01-1,8.6,11.3,13.2,1.35,0.95
917,2013-0064-01-3,8.4,8.8,11.1,0.2,1.15
918,2013-0064-01-4,6.6,6.7,7.4,0.05,0.35
920,2013-0064-01-6,17.9,18.8,20.7,0.45,0.95
921,2013-0187-01-1,0.88,1.08,1.8,0.1,0.36
922,2013-0187-01-2,0.54,0.73,0.9,0.095,0.085
923,2013-0187-01-3,0.75,0.83,1.3,0.04,0.235
924,2013-0187-01-4,0.31,0.42,0.8,0.055,0.19
925,2013-0187-01-5,1.29,1.3,2.67,0.005,0.685
926,2013-0187-01-6,0.29,0.48,0.9,0.095,0.21
927,2013-0187-01-7,0.5,0.69,1.0,0.095,0.155
928,2013-0187-01-8,2.08,2.17,3.0,0.045,0.415
929,2013-0187-01-9,0.42,0.52,0.9,0.05,0.19
930,2013-0265-01-1,0.54,1.04,2.6,0.25,0.78
931,2013-0265-01-10,2.88,3.54,5.6,0.33,1.03
932,2013-0265-01-11,1.36,1.57,3.1,0.105,0.765
933,2013-0265-01-2,0.79,1.19,3.1,0.2,0.955
935,2013-0265-01-4,5.48,6.6,9.5,0.56,1.45
936,2013-0265-01-5,0.5,0.75,2.58,0.125,0.915
937,2013-0265-01-6,0.71,0.79,1.1,0.04,0.155
938,2013-0265-01-7,3.9,4.48,5.7,0.29,0.61
939,2013-0265-01-8,1.12,1.38,2.3,0.13,0.46
940,2013-0265-01-9,0.25,0.38,0.8,0.065,0.21
942,2013-0266-01-10,19.8,19.8,19.4,0.0,-0.2
943,2013-0266-01-11,17.1,17.1,18.6,0.0,0.75
944,2013-0266-01-12,10.0,10.6,12.5,0.3,0.95
945,2013-0266-01-13,3.2,3.48,5.5,0.14,1.01
946,2013-0266-01-14,12.5,13.1,14.7,0.3,0.8
948,2013-0266-01-16,3.6,3.75,3.8,0.075,0.025
950,2013-0266-01-18,4.1,4.33,5.2,0.115,0.435
951,2013-0266-01-19,4.8,5.25,6.6,0.225,0.675
952,2013-0266-01-2,18.8,18.8,17.1,0.0,-0.85
953,2013-0266-01-20,3.4,3.67,5.3,0.135,0.815
954,2013-0266-01-3,2.8,3.0,3.6,0.1,0.3
955,2013-0266-01-4,17.8,17.8,18.3,0.0,0.25
956,2013-0266-01-5,5.0,5.0,5.9,0.0,0.45
957,2013-0266-01-6,4.8,5.5,7.2,0.35,0.85
958,2013-0266-01-7,5.7,5.7,6.3,0.0,0.3
960,2013-0266-01-9,17.9,17.9,20.6,0.0,1.35
